title,examples,benefit,icon,diet_type,region,risk,priority,weight_g,calories,protein_g,fiber_g,gi_index
Grilled Fish Curry (133g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,East,High,5,133,178,0.7,0.5,45
Moong Dal Khichdi (212g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,West,Moderate,4,212,226,1.6,0.7,58
Sprouts Salad (163g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,East,Low,1,163,223,1.6,0.5,60
Sprouts Salad (158g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,West,Moderate,2,158,167,1.5,0.5,57
Oats Upma (244g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,Low,1,244,344,2.3,0.7,61
Poha with Veggies (187g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,High,3,187,264,1.5,0.6,40
Jowar Roti with Bhindi (155g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Moderate,4,155,209,1.4,0.3,42
Poha with Veggies (303g),Poha with Veggies | Poha with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,North,Low,3,303,423,2.3,1.1,63
Chicken Tikka (216g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,East,Low,1,216,253,1.3,0.7,65
Egg Curry with Roti (273g),Egg Curry with Roti | Egg Curry with Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,West,Low,2,273,376,1.9,0.7,46
Mutton Soup (136g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Low,5,136,168,1.6,0.5,60
Grilled Fish Curry (244g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Non-Vegetarian,East,Moderate,1,244,249,2.5,0.8,57
Grilled Fish with Veggies (120g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,East,Low,5,120,153,1.0,0.4,40
Masoor Dal with Red Rice (300g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,South,Moderate,4,300,397,3.5,0.9,54
Ragi Dosa (224g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Non-Vegetarian,West,Low,5,224,311,2.6,0.9,51
Fish Curry with Brown Rice (272g),Fish Curry with Brown Rice | Fish Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,East,Low,3,272,392,1.6,1.0,63
Jowar Roti with Bhindi (213g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,North,Low,3,213,275,1.3,0.7,45
Grilled Chicken Salad (247g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Moderate,1,247,335,1.5,0.6,58
Moong Dal Khichdi (215g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,South,Low,1,215,259,2.2,0.6,50
Masoor Dal with Red Rice (326g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,High,2,326,455,2.5,1.2,43
Steamed Prawns with Veggies (256g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,South,Moderate,4,256,313,1.4,0.7,49
Steamed Prawns with Veggies (272g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,East,High,2,272,282,3.1,1.0,45
Grilled Fish Curry (343g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Non-Vegetarian,East,High,3,343,503,3.5,1.2,47
Lauki Curry with Brown Rice (249g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Non-Vegetarian,North,Moderate,2,249,352,1.5,1.0,48
Bajra Roti (132g),Bajra Roti | Bajra Roti variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥣,Vegetarian,East,Moderate,2,132,138,0.8,0.4,54
Grilled Chicken Salad (112g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Moderate,3,112,151,0.6,0.4,52
Jowar Roti with Bhindi (201g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,West,High,3,201,234,1.6,0.5,52
Grilled Fish with Veggies (194g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🐟,Vegetarian,West,Moderate,3,194,223,2.2,0.6,54
Lauki Curry with Brown Rice (100g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,West,Low,1,100,131,1.0,0.3,43
Mutton Soup (313g),Mutton Soup | Mutton Soup variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🥗,Non-Vegetarian,East,Low,4,313,395,2.6,0.8,38
Fish Curry with Brown Rice (230g),Fish Curry with Brown Rice | Fish Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,North,High,2,230,290,1.8,0.6,37
Sprouts Salad (151g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,South,Low,3,151,217,1.8,0.4,40
Grilled Fish with Veggies (313g),Grilled Fish with Veggies | Grilled Fish with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,East,High,5,313,322,2.6,1.1,59
Sprouts Salad (134g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,South,Low,4,134,139,1.2,0.4,64
Masoor Dal with Red Rice (273g),Masoor Dal with Red Rice | Masoor Dal with Red Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Vegetarian,East,Low,5,273,340,3.2,0.8,54
Steamed Prawns with Veggies (326g),Steamed Prawns with Veggies | Steamed Prawns with Veggies variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,North,Low,5,326,456,1.9,1.0,37
Brown Rice with Sambar (104g),Brown Rice with Sambar | Brown Rice with Sambar variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍗,Vegetarian,North,Moderate,5,104,154,0.9,0.3,52
Oats Upma (139g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,North,High,2,139,199,0.7,0.5,48
Sprouts Salad (192g),Sprouts Salad | Sprouts Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Non-Vegetarian,South,Moderate,5,192,277,1.5,0.4,52
Lauki Curry with Brown Rice (158g),Lauki Curry with Brown Rice | Lauki Curry with Brown Rice variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🌱,Vegetarian,East,High,4,158,224,1.9,0.3,65
Chicken Tikka (290g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,East,High,2,290,293,1.6,0.9,45
Grilled Chicken Salad (337g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Non-Vegetarian,West,Low,2,337,419,3.8,1.1,47
Ragi Dosa (311g),Ragi Dosa | Ragi Dosa variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Vegetarian,South,Moderate,4,311,326,3.3,0.9,58
Moong Dal Khichdi (154g),Moong Dal Khichdi | Moong Dal Khichdi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🫓,Vegetarian,South,Moderate,3,154,206,1.4,0.3,58
Oats Upma (135g),Oats Upma | Oats Upma variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍚,Vegetarian,South,Low,1,135,199,1.1,0.5,60
Grilled Fish Curry (174g),Grilled Fish Curry | Grilled Fish Curry variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Non-Vegetarian,South,Moderate,3,174,186,1.9,0.4,56
Jowar Roti with Bhindi (192g),Jowar Roti with Bhindi | Jowar Roti with Bhindi variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍛,Vegetarian,North,Low,5,192,280,2.1,0.5,63
Chicken Tikka (118g),Chicken Tikka | Chicken Tikka variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🍲,Non-Vegetarian,South,Moderate,4,118,153,1.4,0.4,54
Grilled Chicken Salad (219g),Grilled Chicken Salad | Grilled Chicken Salad variation,Balanced meal with appropriate GI and nutrients for diabetic-friendly diet,🦐,Non-Vegetarian,North,Low,3,219,225,2.0,0.8,46
